Review,Label
 good location excellent staff good fascilities my children love the place,1
 place is really old cramped and dirty even dirtier than london in general there was a smell in the room i was initially put into and another smell in another room i asked for ,0
 staffs attitude tv not working air con in room not working run down hotel needs updating ,0
 very limited room facilities very old furniture very slow wifi very narrow lift very narrow room ,0
 the charging mechanism they added 50 to room rate for any extras i y have used i didn t use any but they still charged my bank account the additional 50 they do not attempt to resolve the overcharging they hang up the phone and do not respond to emails the issue is still outstanding ,0
 management extremely terrible i had a flight which is late so the receptionist ask us to leave the baggage they will take it from the room and keep it in the storage room when we can we realized that our bags still in the room nobody picked it up and they charged us extra night despite its there mistake the manager was rude very un professional he s the insisted to charge us extra night ,0
 nothing like pictures got given a tiny room view wasn t anything special got charged incorrectly shuttle service to clapham finishes at 10 so the walk isn t plesant use money else where i wouldn t stay there again,0
 room upgrade was great and hotel was very clean and modern,1
 if you want to feel how it was to be a custumer in the soviet union be a guest at this hotel with its ex soviet staff no customer service there specially the male staff so rude all but one nice girl that really tried indre ,0
 they were more than accommodating with allowing early check in and complementary late check out would really recommend the apex group of hotels for your business or leisure travels ,1
 poor service ignorant front desk lack of info during terror attacks no sauvignon blanc no bath despite upgrade very small room despite upgrade no recognition of being regular return guest,0
 we didn t appreciate paper cups for tea and coffee and disposable glasses no facewashers were supplied and towels were very thin and worn ,0
 rooms very small for what you pay window doesn t open just 5 cm no air into the room at all my worst room ever pictures in the booking com are showing big rooms no way near the truth i booked a deluxe double room and didnt have even a chair to sit on although in the picture it shows one a real cheat would not recommend this hotel to anyone in fact i will start making negative advertising ,0
 the staff were very unhelpful room was too warm and the hotel extremely loud with people shouting at all hours of the morning ,0
 we were therefor an anniversary and the staff couldn t do more to make our stay a lovely one we even got a room upgrade thank you ,1
 services clean hospitality location,1
 the booking was done for deluxe double room and from 23rd i called them ahead to tell them i will be checking only on 24th morning i land up to find the reservation was on hold even though they had charged me on the previous day itself once it got unblocked they provided me a compact room where if you walk you will hit a wall when i enquired about the same the staff was unapologetic and started explaining how the victorian buildings tend to become smaller on higher floors when i was not buying the story they provided me the actual deluxe double room that is more comfy the staffs arrogance and lack of coordination is seriously needs to be looked at during all these commotion that manager didn t even bother to come out from his palace ,0
 tiny rooms with paper thin walls meaning you can hear everything going on in neighbouring rooms beds and pillows very uncomfortable ,0
